age,citi,day1,day10,day11,day12,day13,day14,day2,day3,day4,day5,day6,day7,day8,day9,duration,maxgroupsize,name,operatedin,physicalrating,price,rating,tourid,touroperator,url
"
                    English
                ","Kathmandu,Lukla,Phakding,Namche Bazar,,,,,",Day 01: Arrival in Kathmandu (1350m/4430),Day 10: Fly back to Kathmandu (1350m/4430ft),Day 11: Full day in Kathmandu/ Local community involvement activities/Shopping,Day 12: Final departure,,,Day 02: Full day in Kathmandu,Day 03: Fly to Lukla (2828m/9279ft) 35min and trek to Phakding (2780m/9121ft) 3-4 hrs walk,Day 04: Trek to Namche Bazaar (3440 m/11287ft) 5-6 hrs walk,Day 05: Rest day at Namche Bazar,Day 06: Trek to Tengboche (3850m/12632ft) 4-5 hrs walk,Day 07: Trek to Khumjung (3753m/12313ft) 4-5 hrs walk,Day 08: Trek to Monjo (2835m) 4-5 hrs walk,Day 09: Trek from Manjo to Lukla (2828m/9279ft) 4-5 hrs walk,,"
                        10                    ","
            Everest Panorama Yoga Trek        ","
                    109988
                ","
                        16 to 75
                    ","US
                        $1,199","
      5.0
    (
      (1)
    ",,"
                    Trekking Planner Pvt. Ltd.
                ",https://www.tourradar.com/147987
"
                    English
                ","Kathmandu,Lukla,Phakding,Namche Bazar,Dingboche,Lobuche,Gorak Shep,Everest Base Camp,Pheriche","Day 01:Fly to Lukla 2,820 m and trek to Phakding 2,657 m - 04 hrs. ",Day 10:Trek to Namche Bazaar - 06 hrs.,Day 11:Trek to Lukla - 06 hrs., Day 12:Fly back to Kathmandu and transfer to hotel end of the service.,,,"Day 02:Trek to Namche Bazaar 3,440 m - 06 hrs.",Day 03:In Namche for rest and acclimatization with short hike.,"Day 04:Trek to Tengboche 3,867 m - 05 hrs.","Day 05:Trek to Dingboche 4,365 m - 05 hrs.","Day 06: Rest and acclimatization day at Dingboche 4,365 m.","Day 07:Trek to Lobuche 4,890 m - 05 hrs.","Day 08: To Everest Base Camp 5,365 m back at Gorakshep 5,180 m - 06 hrs.","Day 09:Morning climb Kalapathar at 5,545 m and to Pangboche 3,900 m.","
            12 days                        
  ","
                        6                    ","
            Everest Base Camp Trek -12 Days        ","
                    132891
                ","
                        8 to 75
                    ","US
                        $1,390",(,,"
                    White Hill Adventure Treks and Expedition Pvt Ltd
                ",https://www.tourradar.com/147987
,",,,,,,,,",Arrival pick up transfer to Hotel and Orientation ,Trek from Thorung Phedi – Thorung La Pass (5416m) to Muktinath (3760m)  ,Trek from Muktinath to Jomsom (2720m),Fly from Jomsom to Pokhara (820m) 30 Minutes flight from Jomsom,,,Kathmandu to Besi Sahar (760m) – Syange (8 hours’ drive) ,Trek from Syange to Dharapani(1860m) ,Trek from Dharapani to Chame (2670m) ,Trek from Chame to Pisang (3200m) ,Trek from Pisang to Manang (3540m) ,Acclimatization day in Manang (3540m)  ,Trek from Manang to Ledar (4200m) ,Trek from Ledar to Thorung Phedi (4525m) ,,,"
            Annapurna Circuit Trek 12 Days        ",,,"US
                        $945","
      4.8
    (
      (4)
    ",,,https://www.tourradar.com/147987
"
                    English
                ","Kathmandu,Phakding,Namche Bazar,Dingboche,Lobuche,Everest Base Camp,Lukla,,",Day 1: Kathmandu - Welcome Dinner,"Day 10: Trek to Gorekshep and Everest Base Camp (5,170m)8-9 hrs",Day 11: Flight back to Kathmandu-Free time-Farewell Dinner (Heli Return to Kathmandu),Day 12: Farewell Travel Guest,,,Day 02: City Sightseeing and Trek Preparation,"Day 3: Flight to Lukla - Trek to Phakding (2,652m) 3 hrs","Day 4: Phakding to Namche Bazaar (3,440m) 5 - 6 hrs",Day 5: Namche Bazaar Rest day,"Day 6: Namche to Tengboche (3,870m): 5 - 6 hrs","Day 7: Tengboche to Dingboche (4,360 m) 5 - 6 hrs",Day 8: Dingboche Rest Day,"Day 9: Dingboche - Lobuche (4,910) 5-6 hrs","
            12 days                        
  ","
                        10                    ","
            Everest Base Camp Trek with Helicopter Return        ","
                    134623
                ","
                        15 to 65
                    ","US
                        $2,250",(,,"
                    Nepal Trekking Routes Treks & Expedition Pvt. Ltd.
                ",https://www.tourradar.com/147987
"
                    English
                ","Kathmandu,Phakding,Namche Bazar,Dingboche,Lobuche,Everest Base Camp,Gorak Shep,Pheriche,Lukla",Day 1: Arrival in Kathmandu airport and Pre-trip meeting.,"Day 10: Trek from Lobuche to Gorak Shep (5,170 m), visit Everest Base Camp(5,364 m): 6- 7 hours trek","Day 11: Trek from Gorak Shep to Pheriche (4,288m) via Kala Patthar (5,545m): 7- 8 hours",Day 12: Trek from Pheriche to Namche Bazaar: 6 - 7 hours trek,Day 13: Trek from Namche Bazaar to Lukla: 6 - 7 hours trek,Day 14: Fly to Kathmandu from Lukla: 30 Min Flight,"Day 2: A full day recreational tour of Kathmandu, the capital valley.","Day 3: Fly to Lukla, trek to Phakding: 30 min flight/3 - 4 hours trek",Day 4: Trek from Phakding to Namche Bazaar: 5 - 6 hours trek,Day 5: Acclimatization Day - Namche Bazaar,Day 6: Trek from Namche Bazaar to Tengboche: 5 - 6 hours trek,Day 7: Trek from Tengboche to Dingboche: 5 - 6 hours trek,Day 8: Dingboche-Acclimatization day.,Day 9: Trek from Dingboche to Lobuche: 5- 6 hours trek,,"
                        15                    ","
            Everest Base Camp Trek- The most Loved trek trail        ","
                    138277
                ","
                        10 to 65
                    ","US
                        $999","
      4.4
    (
      (5)
    ",,"
                    Luxury Holidays Nepal Pvt. Ltd
                ",https://www.tourradar.com/147987
,",,,,,,,,",Day 1:Kathmandu – Sotikhla (715 m),Day 10:Samdo – Dharmashala (4480m),"Day 11:Dharamsala – Bintang (3890m), Larkya La Pass",Day 12:Bintang – Tilje (3010m),Day 13:Tilje – Syage (1725m),Day 14:Syange – Kathmandu,Day 2:Soti Khola – Labubesi / Machha Khola (870m),Day 3:Machha Khola – Jagat (1410m),Day 4:Jagat – Ngyak (1950m),Day 5:Ngyak – Ghap (2050m),Day 6:Ghap – Lho (3148m),Day 7:Lho – Samagaon (3517m),Day 8:Samagaon – Samdo (3738m),Day 9:Rest day in Samdo (3738m),,,"
            Manaslu Circuit  Trek        ",,,"US
                        $1,150","
      5.0
    (
      (7)
    ",,,https://www.tourradar.com/147987
"
                    English, German
                ","Kathmandu,Lukla,Phakding,Namche Bazar,Dingboche,Lobuche,Everest Base Camp,Pheriche,",Day 1: Arrival in Kathmandu airport and Pre-trip meeting.,"Day 10: Trek to Gorak Shep (5,170 m) from Lobuche, visit Everest Base Camp (5,364 m): 6-7 hours trek","Day 11: Trek from Gorak Shep to Pheriche via Kala Patthar (5,545m): 7-8 hours trek",Day 12: Trek from Pheriche to Namche Bazaar: 6-7 hours trek,Day 13: Trek from Namche Bazaar to Lukla: 6-7 hours,Day 14: Fly from Lukla to Kathmandu: 30 Min Flight,"Day 2: A full day recreational tour of Kathmandu, the capital valley","Day 3: Fly to Lukla, trek to Phakding: 30 minutes flight/3-4 hours trek",Day 4: Trek from Phakding to Namche Bazaar: 5-6 hours trek,Day 5: Acclimatization Day at Namche Bazaar,Day 6: Trek from Namche Bazaar to Tengboche: 5-6 hours trek,Day 7: Trek from Tengboche to Dingboche: 5-6 hours trek,Day 8: Acclimatization day at Dingboche.,Day 9: Trek from Dingboche to Lobuche: 5-6 hours trek,,"
                        15                    ","
            Everest Base Camp Trek with Luxury accommodation in Kathmandu        ","
                    138004
                ","
                        10 to 65
                    ","US
                        $999","
      5.0
    (
      (1)
    ",,"
                    Luxury Holidays Nepal Pvt. Ltd
                ",https://www.tourradar.com/147987
,"Kathmandu,Pokhara,,,,,,,",Day 1: Arrival in Kathmandu airport and Pre-trip meeting.,Day 10: Trek from Siding Village back to Pokhara: 4-5 hours trek,Day 11: Drive to Kathmandu from Pokhara: 200 km/ 5-6 hours drive,Day 12: Departure day: transfer to the international airport for your final departure!!,,,"Day 2: A full day recreational tour of Kathmandu, the capital valley",Day 3: Drive from Kathmandu to Pokhara: 200 KM/ 6-7 hours,Day 4: Trek from Pokhara to Dhampus: 3-4 hours trek,Day 5: Trek from Dhampus to Forest Camp: 4-5 hours trek,Day 6: Trek from Forest Camp to Low camp: 4-5 hours trek,Day 7: Trek from Low camp to High Camp: 4-5 hours trek,Day 8: Free day at High Camp. (Exploring Day),Day 9: Trek from High Camp to Siding Village: 4-5 hours trek,,,"
            Mardi Himal Trek        ",,,"US
                        $599","
      5.0
    (
      (2)
    ",,,https://www.tourradar.com/147987
"
                    English
                ","Kathmandu,Pokhara,Ghorepani,Annapurna,,,,,",Day 01: Arrival in Kathmandu (1350m/4430ft),Day 10: Drive to Kathmandu about (1350m/4430ft) 7 hrs drive,Day 11: Cooking Class in Kathmandu,Day 12: Fly back to home/ Next destination,,,Day 02: Cultural and Historical tours in Kathmandu,Day 03: Kathmandu-Pokhara (820m/2690ft) about 7 hrs drive,Day 04: Pokhara  Nayapul  Tirkhedhunga (1570m/5150ft) about 2 hrs drives and 3-4 hrs walks,Day 05: Tikhedhunga-Ulleri-Ghorepani (2780m/9121ft) 5-6 hrs walks,Day 06: Trek to Ghorepani-Tadapani (2660m/8727ft) 4-5 hrs walks,Day 07: Tadapani  Ghandruk (1990m/6529ft) 3-4 hrs walk,Day 08: Local community involvement activities,Day 09: Ghandruk  Pokhara (820m/2690ft),,"
                        10                    ","
            Ghorepani Poon Hill Yoga Trek        ","
                    109985
                ","
                        16 to 75
                    ","US
                        $899","
      4.4
    (
      (4)
    ",,"
                    Trekking Planner Pvt. Ltd.
                ",https://www.tourradar.com/147987
"
                    English
                ",",,,,,,,,",Day 1 Kathmandu (1400m) to Soti Khola (730m) Duration: 6-8 hours ,Day 10 Samdo to Dharmasahala (4460m) Duration: 4 hours ,Day 11 Dharmashala to Bhimtang via Larkya La (5135m) Duration: 8-9 hours ,Day 12 Bhimtang to Tilije (2300m) Duration: 5-6 hours ,Day 13 Tilije to Dharapani (1860m) and drive to Besisahar (760m) Duration: 8-9 hours ,Day 14 Besisahar to Kathmandu Duration: 6-7 hours ,Day 2 SotiKhola to Maccha Khola (890m) Duration: 6 to 7 hours ,Day 3 Maccha Khola to Jagat (1340m) Duration: 6 hours ,Day 4 Jagat to Deng (1860m) Duration: 6 hours ,Day 5 Deng to Namrung (2630m) Duration: 5 hours ,Day 6 Namrung to Lho (2957m) Duration: 4 hours ,Day 7 Lho to Samagaun (3530m) Duration: 4 hours ,Day 8 Acclimatization day in Samagaun ,Day 9 Samagaun to Samdo (3875m) Duration: 3 hours ,,"
                        10                    ","
            Manaslu Circuit Trek 14 Days         ","
                    187886
                ","
                        10 to 70
                    ","US
                        $950","
      5.0
    (
      (1)
    ",,"
                    Himalayan Recreation Treks & Expedition Pvt.ltd
                ",https://www.tourradar.com/147987
"
                    English
                ",",,,,,,,,", DAy01:FLIGHT FROM KATHMANDU TO BHADRAPUR (93 M) 45 MINUTES FLIGHT THEN DRIVE TO TAPLEJUNG (1820 M) APPROX 8 HOURS,Day10: REST AND EXPLORATION DAY IN GHUNSA,"Day11:GHUNSA TO AMJILOSA (2,308M/7,572FT) 6 HOURS WALK","Day12:AMJILOSA TO HELLOK (1,270M/4,166FT) 7 HOURS WALK",Day13:HELLOK TO ILLAM DRIVE BY PRIVATE JEEP 9 HOURS DRIVE,Day14:ILLAM TO BHADRAPUR BY PRIVAT JEEP 4HOURS DRIVE AND FLIGHT BACK TO KATHMANDU,DAy2;TAPLEJUNG TO HELLOK (1740 M) DRIVE BY PRIVATE JEEP 5 HRS,DAy3:HELLOK TOYASANG(2800 M) 6 HOURS WALK,Day4:YASANG TO TORTONG (2995 M) 6 HOURS WALK,Day5:TORTONG TO CHERAM (3870 M) 5 HOURS WALK,Day6: CHERAM TO RAMCHE (3870 M) 4HOURS WALK,Day7:RAMCHE TO YALUNG BASE CAMP (4500M) TO CHERAM 4 HOURS WALK,"Day8:CHERAM TO SELE LA (4290M/ 14,074FT) 6 HOURS WALK","Day9:SELE LA TO GHUNSA (3,595/11,794) 4 HOURS WALK",,"
                        6                    ","
            Kanchenjunga Circuit Trek 14 days        ","
                    131713
                ","
                        8 to 75
                    ","US
                        $1,799","
      5.0
    (
      (6)
    ",,"
                    Mount Adventure Holidays Pvt.Ltd
                ",https://www.tourradar.com/147987
,",,,,,,,,",Day 01: Arrive at Kathmandu,Day 10:Letdar (4250) to Thorong Phedi: (4420m/14501 ft): 3-4 hours ,"Day 11:Thorong Phedi to Thorong La pass (5416m/17764ft) to Muktinath (3,800/12,467ft): 7 - 8 hours",Day 12:Muktinath to Jomsom ,Day 13:Drive to Pokhara/ flight to Pokhara,Day 14:Drive back to Kathmandu.,Day 02:City Sightseeing and Trek Preparation (B.B),Day 03:Drive from Kathmandu to Syange (1100m/3608 ft): 8 - 10 hours ,"Day 04:Trek from Syange to Dharapani (1,960m/6,430ft): 7 - 8 hours ","Day 05:Dharapani to Chame (2,710m/8,891ft): 5 - 6 hours ","Day 06:Chame to Pisang (3,300m/10824ft): 5 - 6 hours","Day 07:Pisang to Manang (3,500m/11,482ft): 6 - 7 hours",Day 08:Manang: Acclimatization day,Day 09:Manang to Letdar (4250).,"
            15 days                        
  ",,"
            15 Days Annapurna Circuit trek (Thorong La Pass trek)        ",,,"US
                        $1,294",(,,,https://www.tourradar.com/141747
,"Kathmandu,Pokhara,Annapurna,,,,,,",Day 1: Kathmandu,Day 10: Bamboo (2335m / 7660ft),Day 11: Jhinu Danda (1780m / 5839ft),Day 12: Landruk - Tolkha - Pothana (1970m / 6463ft),Day 13: Phedi - Pokhara,Day 14: Pokhara,Day 2: Pokhara,Day 3: Nayapul - Ulleri (2080m / 6824ft),Day 4: Ghorepani (2750m / 9022ft),Day 5: Tadapani (2700m / 8858ft),Day 6: Kimrung Khola - Chomrong (2177m / 7143ft),Day 7: Kuldi Ghar - Doban (2670m / 8760ft),Day 8: Doban to Machhapuchhre Base Camp (3700m / 12139ft ),Day 9: Annapurna Base Camp (4130m / 13549ft),,,"
            Annapurna Base Camp Trek        ",,,"US
                        $1,215","
      4.1
    (
      (12)
    ",,,https://www.tourradar.com/141747
"
                    English, German
                ","Kathmandu,Lukla,Phakding,Namche Bazar,Dingboche,Gorak Shep,Everest Base Camp,Pheriche,",Day 1: Arrival day in Kathmandu,"Day 10: Hike to Kalapatthar (5,545m) and Trek to Pheriche (4,317m)","Day 11: Trek to Namche (3,950m)","Day 12: Trek to Lukla (2,860m)","Day 13: Fly to Kathmandu (1,400m)",Day 14: Departure Day,Day 02:Fly to Lukla and trek to Phakding (2610m),"Day 03: Trek to Namche (3,440m)",Day 04: Acclimatization Day,"Day 05: Trek to Tengboche (3,860m)","Day 06: Trek to Dingboche (4,410m)",Day 07: Acclimatization Day,"Day 08: Trek to Lobuche (4,910m)","Day 09: Trek to Everest Base Camp (5,364m) via Gorakshep (5,164m)",,"
                        10                    ","
            Everest Base Camp Trek - 14 Days        ","
                    141518
                ","
                        8 to 80
                    ","US
                        $1,655","
      5.0
    (
      (1)
    ",,"
                    Himalaya Heart Treks & Expedition[P] Ltd 
                ",https://www.tourradar.com/141747
"
                    English, German
                ","Kathmandu,Lukla,Phakding,Namche Bazar,Dingboche,Lobuche,Everest Base Camp,Kala Patthar,Gorak Shep",Day 1: Arrival In Kathmandu  (Overnight at Hotel With Breakfast)   1400m/4428ft  ,"Day 10: Trek To Everest Base Camp And Gorakshep  (Overnight At Hotel With Breakfast, Lunch, And Dinner)  Altitude: 5180m/16,994ft (Gorekshep) & 5364m/17598 (EBC) Walking Distance: 15km (6-8 hours  ","Day 11: Hike To Kalapatthar – Gorekshep – Dingboche (4410m) 7 Hours (Overnight At Hotel With Breakfast, Lunch, And Dinner)  Altitude: 5,545m/18,192ft (Kalapathar) & 4,730m/15,518ft (Chukhung) Walking Distance: 16km (7-8 hours)  ","Day 12: Dingboche To Island Peak Base Camp (Overnight At Camp With Breakfast, Lunch, And Dinner) Altitude: 5,200m/17,060ft Walking Distance: 5km (3-4 hours)  ","Day 13: Island Peak Base Camp To Summit Peak  And Back To Chhukung, 11 Hours (Overnight At Hotel With Breakfast, Lunch, And Dinner)  Altitude: 5,200m/17,060ft to Island Peak (6,189m/20,305 ft) to Chukhung (4730m/ 15518ft) Walking Distance: 10km (12-14 hour","Day 14: Reserve day for Contingency (overnight at tented camp with breakfast, lunch, and dinner)",Day 2: Combined Sightseeing Of Kathmandu And Bhaktapur (Overnight At Hotel With Breakfast)   1400m/4428ft  ,"Day 3: Fly To Lukla And Trek To Phakding (Overnight At Hotel With Breakfast, Lunch, And Dinner)  2,800m/9184ft (Lukla) & 2,652m/8,698ft (Phakding) Walking Distance: 8km (3-4 hours) *  ","Day 4: Trek To Namche Bazaar (Overnight At Hotel With Breakfast, Lunch, And Dinner)  3,440m/11,283ft Walking Distance: 10-12km (5-6 hours)  ","Day 5: Namche Bazar And Everest View Hotel (Overnight At Hotel With Breakfast, Lunch, And Dinner)  3,440m/11,283ft  ","Day 6: Trek To Tengboche  (Overnight At Hotel With Breakfast, Lunch, And Dinner)  Altitude: 3,870m/12,684ft Walking Distance: 10km (6 hours)  ","Day 7: Trek To Dingboche  (Overnight At Hotel With Breakfast, Lunch, And Dinner)  Altitude: 4,400m/14,435ft Walking Distance: 11km (6 hours)  ","Day 8: Dingboche To Nagerjun And Back  (Overnight At Hotel With Breakfast, Lunch, And Dinner) Altitude: 4,400m/14,435ft  "," Day 9: Trek To Lobuche  (Overnight At Hotel With Breakfast, Lunch, And Dinner)  Altitude: 4,900m/16,076ft Walking Distance: 11-12km (6-7 hours)  ",,"
                        10                    ","
            Everest Base Camp Island Peak Climbing        ","
                    130317
                ","
                        15 to 99
                    ","US
                        $2,000","
      4.8
    (
      (19)
    ",,"
                    Mountain Ascend Treks Pvt. Ltd.
                ",https://www.tourradar.com/141747
"
                    English, German, Italian, Portuguese, French, Spanish, Chinese, Dutch
                ","Kathmandu,Lukla,Phakding,Namche Bazar,Dingboche,Lobuche,Gorak Shep,Kala Patthar,Pheriche","Day 01: Arrival in Kathmandu and trip preparation (1,300m/4,264 ft)","Day 10: Gorak Shep to Kala Patthar (5,545m/18,192ft) to Pherice (4,288m/14,070ft): 16km, 7-8 hours","Day 11: Pheriche to Namche Bazaar (3,440m/11,280 ft): 20km, 6 - 7 hours","Day 12: Namche Bazaar to Lukla (2,860m/9,186ft): 19km, 6 - 7 hours",Day 13: Fly to Kathmandu,Day 14: Final departure,"Day 02: Fly to Lukla, trek to Phakding (2,651m/8,700ft): 8km, 3 - 4 hours trek","Day 03: Phakding to Namche Bazaar (3,438m/11,280 ft): 11km, 5 - 6 hours","Day 04: Acclimatization Day - Namche Bazaar: (3,440m/11,284ft)","Day 05: Namche Bazaar to Tengboche (3,870m/12,694ft): 10km, 5 - 6 hours","Day 06: Tengboche to Dingboche (4,360 m/14,300 ft): 9km, 5 - 6 hours",Day 07: Dingboche: Acclimatization,"Day 08: Dingboche to Lobuche (4940 m/16,207 ft): 7km, 5-6 hours","Day 09: Lobuche to Gorak Shep (5,170 m/16,961ft), visit Everest Base Camp (5,364 m/17,594 ft): 13km, 6-7 hours",,"
                        16                    ","
            Everest Base Camp Short Trek        ","
                    68690
                ","
                        12 to 85
                    ","US
                        $1,799","
      5.0
    (
      (3)
    ",,"
                    Himalayan Glacier Trekking Pvt. Ltd.
                ",https://www.tourradar.com/141747
"
                    English
                ",",,,,,,,,","Day 01: Drive to Soti-Khola 700m/2,296 ft - 06/7 hrs.","Day 10: Trek to Bimthang 3,590m / 11,778 ft via Larke - La Pass 5,160 m/16,929 ft - 06/7hrs.","Day 11: Trek to Dharapani 1,963 m/ 6,440 ft -05/6 hrs.","Day 12: Trek to Syange 1,100m/3,608 ft- 04/5 hrs.","Day 13: Drive to Kathmandu 1,300m/4,265 ft or Pokhara 850m/2788ft on local Jeep or Bus- 06/7 hrs.",,"Day 02: Trek to Machhe-Khola 869 m/ 2,851ft - 04/5hrs.","Day 03: Trek to Jagat (1,340m/ 4,396 ft- 04/5hrs.","Day 04: Trek to Deng 1,860m/6,102 ft- 04/5hrs.","Day 05: Trek to Namrung 2,630 m/ 8,628 ft -04/5hrs","Day 06: Trek to Sama- Gaon 3,520m/11,548 ft - 04/5hrs.","Day 07: Sama-Gagon rest day, visit around Manaslu base camp 4,400 m / 14, 435 ft -04/5 hrs.","Day 08: Trek to Samdo 3,875m /12,713 ft- 03/4hrs.","Day 09:   Trek to Dharmasala 4,460 m/14,632 ft - 03/4hrs.","
            13 days                        
  ","
                        6                    ","
            Manaslu Circuit Trek        ","
                    141747
                ","
                        10 to 70
                    ","US
                        $1,250",(,,"
                    White Hill Adventure Treks and Expedition Pvt Ltd
                ",https://www.tourradar.com/141747
"
                    English
                ",",,,,,,,,",Day 01 Kathmandu to pokhara by bus.,"Day 10 Trek from Jhinu Hill to Nayapul (1070m), and then Drive back to Pokhara(884m)",Day 11 Drive back to Kathmandu from Pokhara (884m),,,,Day 02 Drive to Nayapul (1010m/1.5 hours) and trek to Ulleri. (1835m/5.5 hours.),Day 03 Trek to Ghorepani (2850meters/5 hours.),Day 04 Hike up to Poon Hill (3210m/1.5 hours) and trek to Tadapani. (2660m/4 hours.),Day 05 Trek from Tadapani to sinuwa,Day 06 Trek to himalaya/ deurali,Day 07 Trek from Deurali to Annapurna Base Camp (ABC)(4131m),Day 08 Trek from ABC back to Sinuwa (2340m),Day 09 Trek from Sinuwa to Jhinu Hill(2170m),,"
                        30                    ","
            Annapurna Base Camp Trek        ","
                    145924
                ","
                        8 to 70
                    ","US
                        $998","
      4.9
    (
      (5)
    ",,"
                    Mountain Rock Treks And Expedition
                ",https://www.tourradar.com/141747
"
                    English
                ","Kathmandu,Lukla,Phakding,Namche Bazar,,,,,",Day 01 : Arrive at Tribhuwan International Airport (TIA) Kathmandu,Day 10 : Trek back to Dole (4200m/13776ft),Day 11 : Trek back to Namche,Day 12 : Trek back to Lukla (2800m/9184ft) Duration: 7 hours,Day 13 : Fly back to Kathmandu,Day 14 : Leisure day,Day 02 : Kathmandu Valley Sightseeing Tour,Day 03 : Fly to Lukla and trek to Phakding (2652m/8699ft) Duration: 3 hours,Day 04 : Phakding to Namche Bazaar (3440m/11283ft) Duration: 6 hours,Day 05 : Namche Bazar and Everest View Hotel,Day 06 : Namche to Dole (4200m/13776ft) Duration: 5 hrs,Day 07 : Dole to Machhermo (4400m/14432ft) Duration: 5 hrs,Day 08 : Machhermo to Gokyo Lake (4700m/15416ft) Duration: 4 hrs,Day 09 : Hike to Gokyo RI (5360m/17880ft) Duration: 4 hrs,,"
                        10                    ","
            Everest Gokyo Lake Trek        ","
                    75644
                ","
                        18 to 60
                    ","US
                        $1,370","
      4.5
    (
      (1)
    ",,"
                    Nepal Hiking Team
                ",https://www.tourradar.com/141747
"
                    English
                ","Kathmandu,Lukla,,,,,,,",Day 1:Kathmandu  Lukla (2840m) 6 hours   Guest house,Day 10:High camp - summit day (6470m) 7hours   Guest house,Day 11:Khare - Kothe (3600m) 7hours   Guest house,Day 12:Kothe Thulli Kharka (4300m) 7hours   Guest house,Day 13:Tholli kharka  Lukla (2800m) 7hours   Guest house,Day 14:Lukla  Kathmandu 45minutes   3 StarHotel,Day 2:Paiya (2730m)  Pangom (2846m) 6 hours   Guest house,Day 3:Pangom  Ramete Danda (3000m) ingsow (2863m) 6 hours   Guest house,Day 4:Ramete Danda - Chatra Khola (2800m) 6 hours   Guest house,Day 5:Chatara Khola  Kothe (3691m) 7 hours   Guest house,Day 6:Kothe - Thannak (4358m) 7 hours   Guest house,Day 7:Thanak - Khare (5045m) 5hours   Guest house,Day 8:Khare rest day 5hours   Guest house,Day 9:Khare - high camp (5780m) 6hours   Camping,,"
                        12                    ","
            Mera Peak Climbing        ","
                    111923
                ","
                        9 to 75
                    ","US
                        $2,200","
      5.0
    (
      (2)
    ",,"
                    Mount Adventure Holidays Pvt.Ltd
                ",https://www.tourradar.com/141747
,",,,,,,,,","Day 1:  Arrival In Kathmandu( TIA) International Airport(1,365m) Transfer To Hotel Evening Welcome Dinner . O At Hotel","Day 10:  Trek From Chhomrong To Ghandrung (1940 M)Walking 4 Hours,O At Tea House","Day 11: Trek From Ghandrung To Nayapul (1070m)And Drive Back To Pokhara Walking 3 Hours,O At Hotel","Day 12: Tourist Bus Journey From Pokhara To Kathmandu , 6 Hours Drive. O At Hotel",,,Day 2: Drive Kathmandu To Pokhara Overland Journey 6 Hours Drive.O At Hotel,"Day 3: Trek To Tolka Via Phedi ( 1700M). Walking 4 Hours, O At Guest House","Day 4: Trek To Jhinu Danda ( 1780M ). Walking 6 Hours, O At Guest House.",Day 5: Trek To Sinuwa/Bamboo(2380m) Lodge Via Chhomrong,Day 6 : Trek Bamboo Lodge/Sinuwa To Deurali (3020 M),Day 7: Trek From Deurali To Annapurna Base Camp (4130) Walking 4 Hours O At Tea House,"Day 8:  Trek Back From Annapurna Base Camp To Dovan (2600m), Walking 5 Hours,O At Tea House","Day 9: Trek From Dovan To Chhomrong (2170 M) Walking 5 Hours, O At Tea House",,,"
            Annapurna Base Camp Trek        ",,,"US
                        $711","
      5.0
    (
      (2)
    ",,,https://www.tourradar.com/141747
,",,,,,,,,",Day 01: Arrival in Kathmandu,Day 10: Deurali to Annapurna Base camp,Day 11: Annapurna Base Camp descend to Sinuwa,Day 12: Sinuwa to Ghandrung (1940m),"Day 13: Trek to Birethanti, Naya Pul then drive to Pokhara (910m)",Day 14: Drive back to Kathmandu,Day 02: Sightseeing / Cultural Day in Kathmandu Valley,Day 03: Drive from Kathmandu to Pokhara,Day 04: Pokhara to Tikhe Dhungha,Day 05: Trek to Ghorepani (2750m),Day 06: Ghorepani to Poon Hill to Tadapani (2520m),Day 07: Tadapani to Chhomrong (2210m),Day 08: Chhomrong to Doban (2540m),Day 09: Doban to Deurali (3170),"
            15 days                        
  ",,"
            The wonderful trek to Annapurna Base Camp        ",,,"US
                        $1,112",(,,,https://www.tourradar.com/141747
"
                    English
                ",",,,,,,,,","Day 1:Kathmandu - Tumlingtar then drive to Num (1,560 m)  8 hours   Guest house",Day 10: Makalu Base Camp to Yangri Kharka  6/7 hours   Guest house,Day 11: Yangri Kharka to Dobate  7 hours   Guest house,Day 12: Dobate - Khongma Danda  6 hours   Guest house,Day 13: Khongma Danda Seduwa  7 hours   Guest house,Day 14: Seduwa - Num Same day drive to Tumlingtar  7 hours   Guest house,"Day 2:Num - Seduwa (1,500 m)  6 hours   Guest house","Day 3:Seduwa to Tashigaon (2,100 m)  5/6 hours   Guest house","Day 4:Tashigaon to Khongma Danda (3,500m)  6/7 hours   Guest house",Day 5: Khongma Danda to Dobate (3862 m)  7 hours   Guest house,"Day 6: Dobate to Yangri Kharka (3,557 m)  7 hours  Guest house","Day 7: Yangri Kharka to Langmale Kharka (4,410 m)  5/6 hours  Guest house","Day 8: Langmale Kharka to Makalu Base Camp (4,870 m)  5 hours   Guest house",Day 9: Explore Makalu Base Camp  4hours   Guest house,,"
                        6                    ","
            Makalu Base Camp Trek        ","
                    118034
                ","
                        12 to 75
                    ","US
                        $1,500","
      4.5
    (
      (2)
    ",,"
                    Mount Adventure Holidays Pvt.Ltd
                ",https://www.tourradar.com/141747
